"1","Acura","Integra","Small",12900,15900,18800,25,31,"None","Front","4",1800,140,6300,2890,"Yes",13.2,5,177,102,68,37,26.5,11,2705,"non-USA","Acura Integra"
"2","Acura","Legend","Midsize",29200,33900,38700,18,25,"Driver & Passenger","Front","6",3200,200,5500,2335,"Yes",18,5,195,115,71,38,30,15,3560,"non-USA","Acura Legend"
"3","Audi","90","Compact",25900,29100,32300,20,26,"Driver only","Front","6",2800,172,5500,2280,"Yes",16.9,5,180,102,67,37,28,14,3375,"non-USA","Audi 90"
"4","Audi","100","Midsize",30800,37700,44600,19,26,"Driver & Passenger","Front","6",2800,172,5500,2535,"Yes",21.1,6,193,106,70,37,31,17,3405,"non-USA","Audi 100"
"5","BMW","535i","Midsize",23700,30000,36200,22,30,"Driver only","Rear","4",3500,208,5700,2545,"Yes",21.1,4,186,109,69,39,27,13,3640,"non-USA","BMW 535i"
"6","Buick","Century","Midsize",14200,15700,17300,22,31,"Driver only","Front","4",2200,110,5200,2565,"No",16.4,6,189,105,69,41,28,16,2880,"USA","Buick Century"
"7","Buick","LeSabre","Large",19900,20800,21700,19,28,"Driver only","Front","6",3800,170,4800,1570,"No",18,6,200,111,74,42,30.5,17,3470,"USA","Buick LeSabre"
"8","Buick","Roadmaster","Large",22600,23700,24900,16,25,"Driver only","Rear","6",5700,180,4000,1320,"No",23,6,216,116,78,45,30.5,21,4105,"USA","Buick Roadmaster"
"9","Buick","Riviera","Midsize",26300,26300,26300,19,27,"Driver only","Front","6",3800,170,4800,1690,"No",18.8,5,198,108,73,41,26.5,14,3495,"USA","Buick Riviera"
"10","Cadillac","DeVille","Large",33000,34700,36300,16,25,"Driver only","Front","8",4900,200,4100,1510,"No",18,6,206,114,73,43,35,18,3620,"USA","Cadillac DeVille"
"11","Cadillac","Seville","Midsize",37500,40100,42700,16,25,"Driver & Passenger","Front","8",4600,295,6000,1985,"No",20,5,204,111,74,44,31,14,3935,"USA","Cadillac Seville"
"12","Chevrolet","Cavalier","Compact",8500,13400,18300,25,36,"None","Front","4",2200,110,5200,2380,"Yes",15.2,5,182,101,66,38,25,13,2490,"USA","Chevrolet Cavalier"
